algo,transform,sample_size,eer_threshold
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.65625
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6796875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6640625
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.65625
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.703125
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6796875
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.6484375
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.640625
pdq,Rescale,10000,0.625
pdq,Rescale,10000,0.609375
pdq,Rescale,10000,0.6796875
pdq,Rescale,10000,0.671875
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.6328125
pdq,Rescale,10000,0.6171875
pdq,Rescale,10000,0.609375
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.71875
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.734375
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.734375
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.7734375
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.71875
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.5859375
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.71875
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.75
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.7421875
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.71875
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.7265625
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.7265625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.75
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.6640625
pdq,Watermark,1000,0.7421875
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6796875
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.671875
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.734375
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.5859375
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.6171875
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.6484375
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.734375
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.625
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6328125
pdq,Watermark,1000,0.609375
pdq,Watermark,1000,0.7109375
pdq,Watermark,1000,0.734375
pdq,Watermark,1000,0.71875
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.640625
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.59375
pdq,Watermark,1000,0.6953125
pdq,Watermark,1000,0.6875
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.703125
pdq,Watermark,1000,0.6015625
pdq,Watermark,1000,0.65625
pdq,Watermark,1000,0.59375
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.6328125
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.6484375
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6328125
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.6328125
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.625
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.609375
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6171875
pdq,Watermark,10000,0.6328125
